================ Training Loss (Fri Jun 16 23:20:50 2023) ================
(epoch: 106, iters: 480, time: 0.037, data: 0.002) D_A: 0.258 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.282 cycle_B: 2.669 idt_B: 0.000 
(epoch: 108, iters: 192, time: 0.036, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.275 cycle_B: 2.646 idt_B: 0.000 
(epoch: 109, iters: 448, time: 0.038, data: 0.000) D_A: 0.253 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.272 cycle_B: 2.678 idt_B: 0.000 
(epoch: 111, iters: 160, time: 0.033, data: 0.002) D_A: 0.251 G_A: 0.014 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.277 cycle_B: 2.735 idt_B: 0.000 
(epoch: 112, iters: 416, time: 0.038, data: 0.000) D_A: 0.251 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.272 cycle_B: 2.668 idt_B: 0.000 
(epoch: 114, iters: 128, time: 0.041, data: 0.002) D_A: 0.248 G_A: 0.015 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.274 cycle_B: 2.659 idt_B: 0.000 
(epoch: 115, iters: 384, time: 0.044, data: 0.000) D_A: 0.252 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.265 cycle_B: 2.675 idt_B: 0.000 
(epoch: 117, iters: 96, time: 0.037, data: 0.002) D_A: 0.255 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.272 cycle_B: 2.707 idt_B: 0.000 
(epoch: 118, iters: 352, time: 0.036, data: 0.000) D_A: 0.249 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.274 cycle_B: 2.662 idt_B: 0.000 
(epoch: 120, iters: 64, time: 0.039, data: 0.002) D_A: 0.253 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.268 cycle_B: 2.656 idt_B: 0.000 
(epoch: 121, iters: 320, time: 0.033, data: 0.003) D_A: 0.247 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.009 G_B: 0.276 cycle_B: 2.741 idt_B: 0.000 
(epoch: 123, iters: 32, time: 0.036, data: 0.002) D_A: 0.255 G_A: 0.015 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.265 cycle_B: 2.666 idt_B: 0.000 
(epoch: 124, iters: 288, time: 0.038, data: 0.003) D_A: 0.257 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.261 cycle_B: 2.739 idt_B: 0.000 
(epoch: 125, iters: 544, time: 0.040, data: 0.002) D_A: 0.259 G_A: 0.016 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.267 cycle_B: 2.680 idt_B: 0.000 
(epoch: 127, iters: 256, time: 0.038, data: 0.219) D_A: 0.252 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.009 G_B: 0.259 cycle_B: 2.669 idt_B: 0.000 
(epoch: 128, iters: 512, time: 0.034, data: 0.002) D_A: 0.251 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.263 cycle_B: 2.635 idt_B: 0.000 
(epoch: 130, iters: 224, time: 0.037, data: 0.002) D_A: 0.254 G_A: 0.016 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.268 cycle_B: 2.689 idt_B: 0.000 
(epoch: 131, iters: 480, time: 0.029, data: 0.002) D_A: 0.247 G_A: 0.015 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.281 cycle_B: 2.691 idt_B: 0.000 
(epoch: 133, iters: 192, time: 0.033, data: 0.001) D_A: 0.246 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.266 cycle_B: 2.692 idt_B: 0.000 
(epoch: 134, iters: 448, time: 0.033, data: 0.000) D_A: 0.253 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.263 cycle_B: 2.661 idt_B: 0.000 
(epoch: 136, iters: 160, time: 0.039, data: 0.001) D_A: 0.255 G_A: 0.016 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.264 cycle_B: 2.682 idt_B: 0.000 
(epoch: 137, iters: 416, time: 0.038, data: 0.000) D_A: 0.253 G_A: 0.016 cycle_A: 0.005 idt_A: 0.000 D_B: 0.009 G_B: 0.258 cycle_B: 2.660 idt_B: 0.000 
(epoch: 139, iters: 128, time: 0.038, data: 0.002) D_A: 0.252 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.256 cycle_B: 2.661 idt_B: 0.000 
(epoch: 140, iters: 384, time: 0.041, data: 0.002) D_A: 0.254 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.254 cycle_B: 2.659 idt_B: 0.000 
(epoch: 142, iters: 96, time: 0.040, data: 0.002) D_A: 0.253 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.262 cycle_B: 2.722 idt_B: 0.000 
(epoch: 143, iters: 352, time: 0.038, data: 0.004) D_A: 0.254 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.260 cycle_B: 2.691 idt_B: 0.000 
(epoch: 145, iters: 64, time: 0.040, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.009 G_B: 0.255 cycle_B: 2.644 idt_B: 0.000 
(epoch: 146, iters: 320, time: 0.038, data: 0.004) D_A: 0.256 G_A: 0.016 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.252 cycle_B: 2.663 idt_B: 0.000 
(epoch: 148, iters: 32, time: 0.038, data: 0.002) D_A: 0.254 G_A: 0.015 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.260 cycle_B: 2.774 idt_B: 0.000 
(epoch: 149, iters: 288, time: 0.038, data: 0.004) D_A: 0.255 G_A: 0.016 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.260 cycle_B: 2.653 idt_B: 0.000 
(epoch: 150, iters: 544, time: 0.040, data: 0.002) D_A: 0.253 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.260 cycle_B: 2.618 idt_B: 0.000 
(epoch: 152, iters: 256, time: 0.037, data: 0.198) D_A: 0.247 G_A: 0.014 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.256 cycle_B: 2.618 idt_B: 0.000 
(epoch: 153, iters: 512, time: 0.037, data: 0.002) D_A: 0.250 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.257 cycle_B: 2.655 idt_B: 0.000 
(epoch: 155, iters: 224, time: 0.040, data: 0.002) D_A: 0.260 G_A: 0.015 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.254 cycle_B: 2.644 idt_B: 0.000 
(epoch: 156, iters: 480, time: 0.036, data: 0.006) D_A: 0.245 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.264 cycle_B: 2.643 idt_B: 0.000 
(epoch: 158, iters: 192, time: 0.032, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.004 idt_A: 0.000 D_B: 0.009 G_B: 0.255 cycle_B: 2.625 idt_B: 0.000 
(epoch: 159, iters: 448, time: 0.038, data: 0.000) D_A: 0.255 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.254 cycle_B: 2.632 idt_B: 0.000 
